epoch: 0	train ppl: 265.90039204086474	val ppl: 168.79098760324655	best val: 168.79098760324655	time (s) spent in epoch: 67.83688187599182
epoch: 1	train ppl: 118.90574910449176	val ppl: 141.91918223209373	best val: 141.91918223209373	time (s) spent in epoch: 64.90625667572021
epoch: 2	train ppl: 82.97526265142096	val ppl: 139.0929050255963	best val: 139.0929050255963	time (s) spent in epoch: 65.11556196212769
epoch: 3	train ppl: 63.12405668934307	val ppl: 144.24489112594168	best val: 139.0929050255963	time (s) spent in epoch: 64.70116519927979
epoch: 4	train ppl: 49.69375951931171	val ppl: 156.30509568383786	best val: 139.0929050255963	time (s) spent in epoch: 64.69212698936462
epoch: 5	train ppl: 39.892761763841214	val ppl: 170.32168134654114	best val: 139.0929050255963	time (s) spent in epoch: 64.70547294616699
epoch: 6	train ppl: 32.556022262673764	val ppl: 191.97155155841486	best val: 139.0929050255963	time (s) spent in epoch: 64.70653080940247
epoch: 7	train ppl: 26.971596544134123	val ppl: 218.91153220008718	best val: 139.0929050255963	time (s) spent in epoch: 64.68864297866821
epoch: 8	train ppl: 22.703361249265228	val ppl: 250.47405636834264	best val: 139.0929050255963	time (s) spent in epoch: 64.6851978302002
epoch: 9	train ppl: 19.481778389132963	val ppl: 284.4790546606712	best val: 139.0929050255963	time (s) spent in epoch: 64.70027542114258
epoch: 10	train ppl: 16.984534325903017	val ppl: 326.6119059500751	best val: 139.0929050255963	time (s) spent in epoch: 64.66852712631226
epoch: 11	train ppl: 14.990986998811355	val ppl: 372.2621677313378	best val: 139.0929050255963	time (s) spent in epoch: 64.61625409126282
epoch: 12	train ppl: 13.437577584754736	val ppl: 418.91836957812893	best val: 139.0929050255963	time (s) spent in epoch: 64.61291408538818
epoch: 13	train ppl: 12.141870042404513	val ppl: 472.9824244846545	best val: 139.0929050255963	time (s) spent in epoch: 64.60076355934143
epoch: 14	train ppl: 11.079780866968687	val ppl: 539.1699093339766	best val: 139.0929050255963	time (s) spent in epoch: 64.5856077671051
epoch: 15	train ppl: 10.202184018910536	val ppl: 603.0432990390686	best val: 139.0929050255963	time (s) spent in epoch: 64.58481693267822
epoch: 16	train ppl: 9.459989477724791	val ppl: 684.7735321466464	best val: 139.0929050255963	time (s) spent in epoch: 64.31671619415283
epoch: 17	train ppl: 8.847461582820786	val ppl: 760.6120937523092	best val: 139.0929050255963	time (s) spent in epoch: 64.4506139755249
epoch: 18	train ppl: 8.288213213528419	val ppl: 846.9822198222378	best val: 139.0929050255963	time (s) spent in epoch: 64.51177954673767
epoch: 19	train ppl: 7.8236714830230705	val ppl: 956.5820203798241	best val: 139.0929050255963	time (s) spent in epoch: 64.51149225234985
epoch: 20	train ppl: 7.421933968872772	val ppl: 1041.2628820420894	best val: 139.0929050255963	time (s) spent in epoch: 64.50131464004517
epoch: 21	train ppl: 7.040291404923016	val ppl: 1149.1265862839102	best val: 139.0929050255963	time (s) spent in epoch: 64.50627374649048
epoch: 22	train ppl: 6.73383197824924	val ppl: 1306.4391520609938	best val: 139.0929050255963	time (s) spent in epoch: 64.50186800956726
epoch: 23	train ppl: 6.442063635860567	val ppl: 1421.840009650162	best val: 139.0929050255963	time (s) spent in epoch: 64.51572132110596
epoch: 24	train ppl: 6.19001745528557	val ppl: 1527.1844654389126	best val: 139.0929050255963	time (s) spent in epoch: 64.50858616828918
epoch: 25	train ppl: 5.955610822512395	val ppl: 1653.0782422088694	best val: 139.0929050255963	time (s) spent in epoch: 64.51193690299988
epoch: 26	train ppl: 5.7428666073367	val ppl: 1728.9738640344754	best val: 139.0929050255963	time (s) spent in epoch: 64.50445818901062
epoch: 27	train ppl: 5.5542447658816165	val ppl: 1856.294020575595	best val: 139.0929050255963	time (s) spent in epoch: 64.50748229026794
epoch: 28	train ppl: 5.375617516507851	val ppl: 1958.4403011565255	best val: 139.0929050255963	time (s) spent in epoch: 64.5117838382721
epoch: 29	train ppl: 5.2252933062247875	val ppl: 2067.983417172646	best val: 139.0929050255963	time (s) spent in epoch: 64.50346493721008
epoch: 30	train ppl: 5.092089580424583	val ppl: 2203.4617705828673	best val: 139.0929050255963	time (s) spent in epoch: 64.50821185112
epoch: 31	train ppl: 4.937290433972699	val ppl: 2325.8151146781584	best val: 139.0929050255963	time (s) spent in epoch: 64.51059532165527
epoch: 32	train ppl: 4.826135549569787	val ppl: 2406.066248019599	best val: 139.0929050255963	time (s) spent in epoch: 64.50624060630798
epoch: 33	train ppl: 4.705634861034784	val ppl: 2491.768016310375	best val: 139.0929050255963	time (s) spent in epoch: 64.52402901649475
epoch: 34	train ppl: 4.588646302886397	val ppl: 2646.9690541531977	best val: 139.0929050255963	time (s) spent in epoch: 64.5056049823761
epoch: 35	train ppl: 4.492966246959623	val ppl: 2708.145436264993	best val: 139.0929050255963	time (s) spent in epoch: 64.52678442001343
epoch: 36	train ppl: 4.396557814348022	val ppl: 2852.5569705055036	best val: 139.0929050255963	time (s) spent in epoch: 64.53061270713806
epoch: 37	train ppl: 4.3157448418894875	val ppl: 2946.4334413146153	best val: 139.0929050255963	time (s) spent in epoch: 64.5272262096405
epoch: 38	train ppl: 4.228311974737747	val ppl: 3148.5414771603623	best val: 139.0929050255963	time (s) spent in epoch: 64.5250096321106
epoch: 39	train ppl: 4.150568683768083	val ppl: 3248.2905272555086	best val: 139.0929050255963	time (s) spent in epoch: 64.51158738136292
